N°;Titulo;Prompt resultados;
1;Vestido de noche:;{{An elegant rendering of {Andy, a 29-year-old, blonde, blue-eyed, athletic woman}}} wearing {a black evening gown with a high slit on one leg, revealing a garter. The sequins on her dress sparkle in the moonlight as she looks out at the city lights}. This is a {modern, nighttime style} inspired image, showing {a serene, romantic setting on a large balcony of a luxurious apartment}. The setting/background should be {a spacious balcony with modern architecture, with the illuminated city in the background} to create a {tranquil, captivating atmosphere}. The image should be in the style of {realistic photography}, incorporating elements of {elegant fashion and nighttime photography}. The shot type is {medium shot}, captured with a {35mm} lens, providing a {dynamic, immersive perspective}. Lighting should be {soft, with moonlight and reflections from the city}, emphasizing {the shine of the dress and Andy's silhouette}. The desired level of detail is {high} with a resolution of {4K}, highlighting {the details of the dress and the urban background}. The goal is to create a {captivating} image that conveys {elegance and serenity};1
2;Overol Corto de mescliya:;{{A representation of ((sensual)) {Andy, a 29-year-old athletic blonde woman with blue eyes, dressed in a short denim overall with no shirt underneath, similar to the one shown in the image}}. She is {standing in a modern kitchen, looking down while resting her hands on a marble countertop, with a relaxed expression}. This is an image inspired by {photorealism} that showcases {a casual and natural atmosphere}. The environment should be {indoors, in a well-lit kitchen} to create a {cozy and homey atmosphere}. The image should have the style of a {photograph}, incorporating elements of {urban and casual fashion}. The {medium shot}, captured with a {35 mm lens}, will provide a {natural and relaxed view}. The lighting should be {soft and diffused}, emphasizing {the warm tones of the skin and the texture of the denim}. The desired level of detail is {high}, with a resolution of {4K}, highlighting {the contrasts between the skin and the denim fabric}. The goal is to create a {natural and captivating} image that connects with viewers through its {simplicity and charm};1
3;Indígena americana:;[Medium shot] of Andy, a 29-year-old athletic blonde with blue eyes, wearing a [Native American-inspired outfit] with a low-cut neckline. She is adorned with an [elaborate feather headdress in orange and blue], intricately decorated with beads surrounding her head. Her [face is painted with white tribal patterns], emphasizing her strong yet elegant expression. She wears a [handmade beaded necklace in matching shades of orange and blue], which covers her neck and part of her chest. Her [hair is braided] with small bead and feather embellishments on either side. The [background is blurred] with hints of green leaves, suggesting a connection to nature. The lighting is [soft and warm], highlighting the details of the costume, face paint, and accessories. Style: [hyper-realistic digital illustration], focusing on detailed textures, high-definition rendering, and [vibrant colors];1
4;Genshin:;Andy, a 29-year-old blonde woman with blue eyes and an athletic build, wears a sleek, tight-fitting black suit. The suit features intricate gold detailing on the cuffs, shoulders, and chest area, giving it a stylish yet edgy look. A sun-shaped emblem sits prominently on her chest, radiating power and sophistication. The suit's design incorporates cut-out patterns along her thighs and abdomen, adding a touch of charm to the ensemble. Her long sleeves are accented with sleek gold cuffs and intricate designs, creating a contrast to the suit's dark material. She wears black gloves that extend slightly past her wrists, further emphasizing her sophisticated, combat-ready appearance. The suit's design is streamlined, hugging her athletic physique, and features additional red and gold detailing that draws attention to her curves. The overall outfit is striking, combining a futuristic combat style with elements of elegance and mystery, perfect for a character in an action-adventure world. Andy poses confidently, with her blonde hair down as she stands tall, ready for action in this dynamic outfit. The background environment is large flames that surround and embrace her, but they don't seem to burn her, she walks among these flames, apparently it is the inside of a volcano, where there is fire, lava, and smoke.;1
5;Motoquera:;{{A dynamic representation of {Andy, an athletic blonde woman with blue eyes, 29 years old}}} with {a tight black leather suit with white details, posing next to her Kawasaki 1000 cc motorcycle at sunset by a roadside overlooking the sea}}. This image is inspired by {digital realism} and shows {the sunset light highlighting her figure and the motorcycle, with the sea reflecting the warm hues of the sky}}. The setting/background should be {a road by the ocean at sunset} to create a {calm yet powerful atmosphere}. The image should have the style of {a realistic digital illustration}, incorporating elements of {motorcycle photography and cinematic styling}. The shot should be {a medium shot}, captured with a {70 mm lens}, providing {a view focused on Andy and her motorcycle, highlighted by the sunset}. The lighting should be {natural sunset lighting}, emphasizing {the warm reflections on the leather suit and the bike}. The desired level of detail is {high}, with a resolution of {high resolution}, highlighting {the leather texture, the motorcycle details, and the softness of the shadows}. The goal is to create a {visually powerful and aesthetically impactful} image that captivates viewers with its {visual strength and balanced composition};1
6;Salma hayek en la pelicula el Del crepúsculo al amanecer:;[Medium shot] of Andy, a 29-year-old athletic blonde with blue eyes, performing an exotic dance in a [dimly lit bar] setting. She is wearing an [elaborate bikini outfit made of golden, snake-like patterns], designed with a blend of metallic and shiny materials that reflect the low lighting. A [large, live python wraps around her shoulders and neck], adding an air of danger and allure to her performance. Her [hair is loose and flowing], cascading over her bare back, and her [movements are slow and sensual], captivating the audience. The lighting is [moody, with red and amber hues] casting shadows on her toned figure, emphasizing the contours of her body and the snake's scales. The background features a [crowded bar, blurred and dark], with silhouettes of patrons watching her intensely. Style: [hyper-realistic digital art], high-definition, with a focus on [textures like skin, metal, and snake scales]. The atmosphere is [seductive and tense], capturing the essence of the exotic dance.;1
7;Overol Corto, arreglando moto;[Medium wide shot] of Andy, a 29-year-old athletic blonde with blue eyes, working inside a [dimly lit motorcycle garage]. She is dressed in nothing but a [short denim overalls], leaving her [shoulders and arms bare], revealing her toned, feminine physique. She is [crouched down] next to a [black Kawasaki motorcycle], focused on tightening a bolt. Her [hands and face are slightly smudged with grease], adding to the gritty, hard-working atmosphere. The [overalls fit snugly] around her waist and thighs, showing signs of wear and tear, with [a few dirt stains] marking the fabric. Her [blonde hair is tied back loosely], with a few stray strands falling around her face as she works. The garage is filled with [tools scattered on a workbench], motorcycle parts, and [dim, overhead lighting], creating a [moody, industrial vibe]. In the background, you can see [shelves filled with spare parts] and [metal cabinets], emphasizing the [functional, mechanical nature] of the space. The scene is lit with [warm tones from the industrial lights], casting soft shadows across her body and the motorcycle. Style: [hyper-realistic digital artwork], capturing the [subtle textures of denim, grease, and metal] with a focus on [light and shadow].;1
8;alicia silverstone de batichica en batman;[Wide shot] of Andy, a 29-year-old athletic blonde with blue eyes, standing confidently on the edge of a [gothic-style skyscraper rooftop] at night. She is dressed as a [futuristic heroine], wearing a tight-fitting, shiny black suit with metallic details, inspired by a [bat-themed design]. The suit is illuminated by the soft [moonlight], which glimmers off the [sleek armor-like panels] that cover her chest, arms, and legs. A [dark cape flows behind her], subtly reflecting the light as it moves in the night breeze. Her [blonde hair peeks out from her mask], adding contrast to the dark tones of her outfit. The city skyline is visible in the background, with [tall buildings and glowing windows] fading into the distance. The atmosphere is [tense and dramatic], with [clouds passing over the moon], casting shifting shadows on her form. Style: [hyper-realistic digital artwork], focusing on the [contrast between light and shadow], capturing the gleam of her costume and the [intensity of the urban night scene];1
9;Trinity de Matrix, actuado Carrie-ann moss, traje largo;[Full-body shot] of Andy, a 29-year-old athletic blonde with blue eyes, walking confidently through the [dark, rain-slicked streets] of a futuristic city at night. She is wearing a [long, sleek black leather coat] that flows behind her as she walks, embodying an aura of power and mystery. The coat is [tight-fitting around her waist and hips], highlighting her athletic figure, and the [shiny leather surface] reflects the soft glow of the [streetlights]. Her face is partially obscured by [small, dark sunglasses], the signature accessory that adds to her enigmatic look. Her [blonde hair is slicked back], giving her a sharp, no-nonsense appearance. The cityscape around her is filled with [neon signs] and [towering skyscrapers], with the [occasional flicker of digital ads] casting an otherworldly glow on the wet pavement. The [dim lighting and shadows] create a moody atmosphere as she moves with purpose down the street. The reflection of her [long coat and boots] bounces off the [wet ground], amplifying the intensity of the scene. Style: [cinematic digital artwork], emphasizing [high contrast lighting] and [dark, dystopian vibes] with a focus on [the futuristic urban landscape];1
10;Princesa Leia de star wars, actuado por Carrie Fisher traje blanco;[Medium wide shot] of Andy, a 29-year-old athletic blonde with blue eyes, dressed as [Princess Leia] from Star Wars, standing inside a [futuristic, sleek white spaceship interior]. She is wearing the [iconic white floor-length gown], made of a [soft, flowing fabric] that drapes elegantly down her figure, emphasizing her slim yet athletic build. The gown features a [high collar and long sleeves], providing a regal and modest appearance. Around her waist is a [silver metallic belt], fitted snugly, adding a touch of structure and contrast to the otherwise soft ensemble. Her hair is styled in [two intricate side buns], perfectly symmetrical, framing her face and enhancing the classic, iconic look. She holds a [small blaster in one hand], poised and ready for action. The setting around her is filled with [gleaming, white metal walls] and [futuristic control panels], illuminated by [cool blue and white lights], evoking the technological atmosphere of a starship. The overall ambiance is clean, minimalist, and futuristic, with [reflections of light bouncing off the metal surfaces], creating a sense of depth and realism. Style: [high-definition digital artwork], with detailed attention to the [textures of fabric, metal, and light], blending [sci-fi elements] with a [cinematic, heroic pose];1
